"행정구역별",2021.1/2,2021.1/2,2021.2/2,2021.2/2,2022.1/2,2022.1/2
"행정구역별",거주지내 통근 취업자 (천명),거주지외 타지역 통근 취업자 (천명),거주지내 통근 취업자 (천명),거주지외 타지역 통근 취업자 (천명),거주지내 통근 취업자 (천명),거주지외 타지역 통근 취업자 (천명)
"서울 종로구",32.4,40.7,32.3,45.5,34.3,44.1
"서울 중구",29.7,35.8,34.1,33.1,35.3,34.1
"서울 용산구",44.5,76.5,47.6,75.1,42.7,80.0
"서울 성동구",40.8,106.3,43.4,103.3,44.1,106.1
"서울 광진구",57.4,122.5,57.5,125.7,59.8,130.9
"서울 동대문구",62.8,108.2,64.5,108.8,72.5,105.9
"서울 중랑구",57.2,133.3,58.8,131.7,58.4,135.1
"서울 성북구",73.0,131.4,64.8,142.0,62.5,148.5
"서울 강북구",45.2,94.3,44.7,95.4,42.6,94.4
"서울 도봉구",44.3,105.2,43.9,107.6,45.5,104.9
"서울 노원구",75.9,165.8,74.7,167.5,74.0,168.2
"서울 은평구",69.1,155.5,69.7,162.5,69.3,158.6
"서울 서대문구",50.4,101.8,48.7,103.7,52.1,100.7
"서울 마포구",73.4,122.2,77.1,122.4,75.7,125.8
"서울 양천구",58.1,152.4,58.5,152.8,61.5,152.8
"서울 강서구",107.6,180.5,109.7,183.2,112.8,185.1
"서울 구로구",69.1,148.1,72.0,149.0,73.0,148.6
"서울 금천구",53.3,75.9,58.8,71.3,58.6,74.5
"서울 영등포구",66.9,140.0,76.5,137.9,84.7,134.6
"서울 동작구",45.7,149.9,45.6,155.2,47.0,157.4
"서울 관악구",67.3,182.5,68.0,188.1,76.0,192.7
"서울 서초구",57.5,131.1,66.4,124.6,64.0,125.3
"서울 강남구",116.3,133.7,116.2,140.8,120.9,134.7
"서울 송파구",121.8,199.7,121.2,203.6,136.6,195.4
"서울 강동구",83.3,150.9,85.2,149.3,86.8,149.0
